id,name,url,location,latitude,longitude,description,postal_code,phone,email,type
154,Ясли-сад д.Тельмы-1,https://telmy-du.roobrest.gov.by/,"Брестская обл.,Брестский р-н,Тельминский с/с,д. Тельмы-1,ул. Новая, д.8",52.11635,23.83207,,,,,0
155,Лыщицкая участковая больница УЗ «Брестская городская больница № 2»,,"Брестская обл.,Брестский р-н,д. Лыщицы,ул. Мичурина, д.32",52.25968,23.49696,,,,,0
156,Медновская участковая больница УЗ «Брестская городская больница № 2»,,"Брестская обл.,Брестский р-н,д. Медно,ул. Республиканская, д.79",51.86746,23.74588,,,,,0
157,Мотыкальская амбулатория врача общей практики УЗ «Брестская городская больница № 2»,,"Брестская обл.,Брестский р-н,д. Б.Мотыкалы,ул. Центральная, д.25",52.19778,23.58553,,,,,0
158,Томашовская врачебная амбулатория УЗ «Брестская городская больница № 2»,,"Брестская обл.,Брестский р-н,аг. Томашовка,ул. Гагарина, д.21",51.56068,23.60331,,,,,0
159,Чернинская амбулатория врача общей практики УЗ «Брестская центральная поликлиника»,,"Брестская обл.,Брестский р-н,аг. Черни,ул. Пионерская, д. 7",52.14987,23.75312,,,,,0
160,Брестский лесхоз,http://brest.lesnoi.by/,"г Брест,ул. Кобринская, д.53",52.07066,23.77219,,,,,0
161,Центр повышения квалификации руководящих работников и специалистов Брестского комитета по сельскому хозяйству и продовольствию Брестского облисполкома,,"Брестская обл.,Брестский р-н,Чернавчицкий с/с,аг. Чернавчицы,ул. Сикорского, д.33",52.21222,23.74176,,,,,0
162,ГУО «Гимназия № 5 г.Барановичи»,http://gymn5.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Тексер, д.12",53.10743,25.97562,,,,,0
163,ГУО «Лицей № 1 г.Барановичи»,http://lyceum1.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,пр. Советский, д.33",53.14433,26.00616,,,,,0
164,ГУО «Средняя школа № 3 г.Барановичи»,http://sch3.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Колхозная, д.64",53.12017,25.95911,,,,,0
165,ГУО «Средняя школа № 4 г.Барановичи»,http://sch4.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Демьяна Бедного, д.47",53.11757,25.97968,,,,,0
166,ГУО «Средняя школа № 7 г.Барановичи»,http://sch7.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Чкалова, д.7",53.13089,26.02619,,,,,0
167,ГУО «Средняя школа № 9 им. Г.Н.Холостякова г.Барановичи»,http://sch9.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Брестская, д.42",53.13512,26.01959,,,,,0
168,ГУО «Средняя школа № 10 г.Барановичи»,http://sch10.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. 50 Лет ВЛКСМ, д.22",53.11466,26.02713,,,,,0
169,ГУО «Средняя школа № 12 им. Героя Советского Союза И.К.Кабушкина г. Барановичи»,http://sch12.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Глинки, д.14",53.13631,25.989,,,,,0
170,ГУО «Средняя школа № 14 г.Барановичи»,http://sch14.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Пионерская, д.98",53.12666,25.99035,,,,,0
171,ГУО «Средняя школа № 15 г.Барановичи»,http://sch15.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Гаевая, д.59",53.1506,26.06181,,,,,0
172,ГУО «Средняя школа № 16 г.Барановичи»,http://sch16.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Коммунистическая, д.8",53.11825,26.02354,,,,,0
173,ГУО «Средняя школа № 17 г.Барановичи»,http://sch17.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Циолковского, д.8",53.13477,26.06946,,,,,0
174,ГУО «Средняя школа № 19 г.Барановичи»,http://sch19.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Жукова, д.12/6",53.1537,26.00526,,,,,0
175,ГУО «Средняя школа № 20 г.Барановичи»,http://sch20.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Энтузиастов, д.58",53.13276,26.07802,,,,,0
176,Ясли-сад № 33 г.Барановичи,http://ds33.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Притыцкого, д.89А",53.1158,26.02139,,,,,0
177,Дворец детского творчества г.Барановичи,http://ddt.baranovichi.edu.by/,"Брестская обл.,г. Барановичи,ул. Советская, д.136",53.12234,26.02311,,,,,0
178,Детская музыкальная школа искусств г.Барановичи,http://dmshi.alio.by/,"Брестская обл.,г. Барановичи,ул. Горького, д.20",53.13267,26.00639,,,,,0
179,Барановичский государственный колледж легкой промышленности им.В.Е.Чернышева,https://bgklp.by/,"Брестская обл.,г. Барановичи,ул. Советская, д.67",53.13333,26.01609,,,,,0
180,Барановичский государственный профессионально-технический колледж сферы обслуживания,https://bargkso.by/,"Брестская обл.,г. Барановичи,ул. Кирова, д.50",53.14358,26.0452,,,,,0
181,Барановичский государственный профессиональный лицей машиностроения,http://bplm.brest.by/,"Брестская обл.,г. Барановичи,ул. Королика, д.4",53.15879,26.01346,,,,,0
