ФИО судьи,Должность,"Декрет  (номер, дата)",какой суд,причина
Гаврилюк Нина Ивановна,судья,20.08.2013 № 364,суд Ленинского района г. Могилева ,выход в отставку
Головенчик Снежана Анатольевна,судья,20.08.2013 № 364,суд Жлобинского района ,по собственному желанию
Грекова Валентина Михайловна,судья и председатель суда,20.08.2013 № 364,суд Октябрьского района ,истечение срока полномочий (оставлена в должности судьи)
Далинчук Светлана Фёдоровна,судья,20.08.2013 № 364,Минский областной суд,выход в отставку
Исаченко Екатерина Викторовна,судья,20.08.2013 № 364,суд Советского района г. Минска ,истечение срока полномочий
Карповская Тамара Ивановна,судья,20.08.2013 № 364,суд Бобруйского района и г. Бобруйска,выход в отставку
Кежун Алена Владимировна,судья,20.08.2013 № 364,суд Советского района г. Минска ,по собственному желанию
Ковалева Валентина Владимировна,зам судья и председатель суда,20.08.2013 № 364,суд Железнодорожного района г. Витебска ,истечение срока полномочий (оставлена в должности судьи)
Корзубова Елена Григорьевна,судья,20.08.2013 № 364,суд Фрунзенского района г. Минска ,истечение срока полномочий
Коршун Светлана Александровна,судья,20.08.2013 № 364,суд Пинского района и г. Пинска ,перевод на другую работу
Кошко Игорь Леонидович,зам судья и председатель суда,20.08.2013 № 364,суд Лидского района,по собственному желанию (оставлен в должности судьи)
Миронюк Олег Степанович,зам судья и председатель суда,20.08.2013 № 364,суд Ленинского района г. Бреста ,истечение срока полномочий (оставлен в должности судьи)
Назаренко Василий Андреевич,судья,20.08.2013 № 364,Минский городской суд,выход в отставку
Неверовский Александр Владимирович,судья,20.08.2013 № 364,Белорусский военный суд,выход в отставку
Прокопик Анатолий Михайлович,судья,20.08.2013 № 364,суд Ленинского района г. Гродно ,выход в отставку
Рубис Нина Ивановна,судья,20.08.2013 № 364,суд Могилевского района,выход в отставку
Свитык Виктория Сергеевна,судья,20.08.2013 № 364,Суд Полоцкого района и г. Полоцка ,истечение срока полномочий
Сенченко Вера Петровна,судья,20.08.2013 № 364,суд Верхнедвинского района ,выход в отставку
Скоморощенко Игорь Петрович,судья,20.08.2013 № 364,Белорусский военный суд,по собственному желанию
Слепцова Елена Алексеевна,судья,20.08.2013 № 364,суд Оршанского района и г. Орши ,истечение срока полномочий
Стефановский Игорь Эдуардович,судья,20.08.2013 № 364,Белорусский военный суд,по собственному желанию
Торопина Наталья Вячеславовна,судья,20.08.2013 № 364,суд Барановичского района и г. Барановичи,истечение срока полномочий
Туленкова Анна Михайловна,судья,20.08.2013 № 364,суд Ленинского района г. Могилева ,выход в отставку
Хаткевич Елена Владимировна,судья,20.08.2013 № 364,суд Воложинского района ,выход в отставку
Циунчик Виктор Иосифович,судья,20.08.2013 № 364,суд Вороновского района ,выход в отставку
Шупиков Андрей Валентиновича,судья,20.08.2013 № 364,Минский областной суд,выход в отставку
Авчинко Леонид Иванович,судья и председатель суда и судья,23.04.2014 № 183,суд Заводского района г. Минска ,выход в отставку
Белойчук Наталья Николаевна,судья,23.04.2014 № 183,суд Светлогорского района ,выход в отставку
Бутько Андрей Валерьевич,судья,23.04.2014 № 183,экономический суд Минской области ,истечение срока полномочий
Воробей Василий Дмитриевич,судья,23.04.2014 № 183,суд Ивацевичского района ,выход в отставку
Дмитрук Георгий Григорьевич,судья,23.04.2014 № 183,Брестский областной суд,выход в отставку
Езерская Анна Ивановна,судья,23.04.2014 № 183,суд Минского района,выход в отставку
Исаева Людмила Петровна,судья и председатель суда,23.04.2014 № 183,суд Берестовицкого района ,истечение срока полномочий (оставлена в должности судьи)
Кисмерошкина Валентина Ивановна,судья,23.04.2014 № 183,суд Первомайского района г. Витебска ,выход в отставку
Ковенко Валентина Максимовна,судья,23.04.2014 № 183,суд Брестского района ,выход в отставку
Крупенкина Евдокия Алексеевна,судья,23.04.2014 № 183,Гомельский областной суд,выход в отставку
Кутузов Андрей Викторович,судья,23.04.2014 № 183,Суд Полоцкого района и г. Полоцка,по собственному желанию
Лапина Валентина Николаевна,судья,23.04.2014 № 183,суд Солигорского района ,по собственному желанию
Литвинович Сергей Георгиевич,судья и председатель суда,23.04.2014 № 183,суд Молодечненского района ,по собственному желанию (оставлен в должности судьи)
Минец Иван Николаевич,судья,23.04.2014 № 183,Верховный суд,выход в отставку
Послед Маргарита Чеславовна,судья,23.04.2014 № 183,Верховный суд,"совершение проступка, несовместимого с нахождением на государственной службе"
Сезин Юрий Васильевич,судья,23.04.2014 № 183,суд Московского района г. Минска ,по собственному желанию
Солопан Светлана Александровна,судья,23.04.2014 № 183,суд Московского района г. Минска ,в связи с выходом на работу находившейся в социальном отпуске Кособуцкой Инны Анатольевны
Сунцова Наталия Анатольевн,судья,23.04.2014 № 183,суд Оршанского района и г. Орши,по собственному желанию
Терешков Максим Сергеевич,судья,23.04.2014 № 183,суд Центрального района г. Минска,в связи с выходом на работу находившейся в социальном отпуске Козловой Марины Владимировны
